"","x"
"1",4
"2",4
"3",2
"4",5
"5",2
"6",1
"7",3
"8",3
"9",2
"10",5
"11",5
"12",1
"13",4
"14",5
"15",6
"16",1
"17",5
"18",1
"19",2
"20",5
"21",5
"22",5
"23",2
"24",1
"25",1
"26",1
"27",1
"28",3
"29",4
"30",5
"31",4
"32",5
"33",5
"34",1
"35",4
"36",3
"37",1
"38",1
"39",4
"40",6
"41",4
"42",3
"43",6
"44",5
"45",1
"46",5
"47",1
"48",5
"49",5
"50",1
"51",2
"52",2
"53",5
"54",2
"55",1
"56",4
"57",6
"58",5
"59",2
"60",5
"61",1
"62",4
"63",4
"64",1
"65",5
"66",3
"67",4
"68",1
"69",2
"70",5
"71",5
"72",5
"73",5
"74",1
"75",5
"76",4
"77",6
"78",2
"79",5
"80",4
"81",3
"82",3
"83",5
"84",5
"85",4
"86",1
"87",1
"88",3
"89",3
"90",5
"91",5
"92",4
"93",5
"94",4
"95",4
"96",4
"97",5
"98",5
"99",1
"100",1
"101",4
"102",2
"103",4
"104",4
"105",1
"106",4
"107",4
"108",1
"109",1
"110",2
"111",5
"112",2
"113",1
"114",6
"115",2
"116",1
"117",2
"118",5
"119",1
"120",6
"121",1
"122",5
"123",5
"124",4
"125",1
"126",1
"127",6
"128",1
"129",5
"130",5
"131",6
"132",1
"133",1
"134",4
"135",5
"136",5
"137",5
"138",1
"139",5
"140",2
"141",1
"142",5
"143",1
"144",5
"145",5
"146",5
"147",3
"148",5
"149",5
"150",5
"151",2
"152",1
"153",2
"154",1
"155",5
"156",3
"157",4
"158",4
"159",5
"160",1
"161",5
"162",3
"163",4
"164",4
"165",5
"166",4
"167",1
"168",5
"169",5
"170",6
"171",5
"172",2
"173",4
"174",1
"175",3
"176",1
"177",4
"178",5
"179",6
"180",1
"181",1
"182",2
"183",2
"184",1
"185",2
"186",5
"187",5
"188",4
"189",1
"190",5
"191",6
"192",6
"193",5
"194",3
"195",2
"196",4
"197",3
"198",6
"199",2
"200",4
"201",2
"202",1
"203",5
"204",1
"205",5
"206",4
"207",5
"208",5
"209",2
"210",1
"211",5
"212",2
"213",5
"214",1
"215",5
"216",6
"217",1
"218",5
"219",2
"220",3
"221",1
"222",5
"223",1
"224",5
"225",6
"226",5
"227",4
"228",1
"229",1
"230",2
"231",4
"232",5
"233",5
"234",3
"235",6
"236",1
"237",4
"238",6
"239",1
"240",1
"241",1
"242",2
"243",1
"244",4
"245",5
"246",5
"247",3
"248",5
"249",4
"250",2
"251",5
"252",5
"253",6
"254",2
"255",5
"256",1
"257",1
"258",4
"259",4
"260",2
"261",5
"262",1
"263",5
"264",1
"265",3
"266",5
"267",6
"268",1
"269",3
"270",1
"271",2
"272",2
"273",4
"274",2
"275",4
"276",4
"277",2
"278",4
"279",5
"280",5
"281",3
"282",4
"283",4
"284",2
"285",5
"286",5
"287",2
"288",5
"289",1
"290",2
"291",4
"292",3
"293",5
"294",4
"295",2
"296",2
"297",3
"298",5
