sample,image_name,zone,camera,timestamp,date,time,plant_id,genotype,area,marker_area,marker_ellipse_major_axis,marker_ellipse_minor_axis,marker_ellipse_eccentricity,in_bounds,object_in_frame,estimated_object_count,perimeter,height,width,solidity,center_of_mass_x,center_of_mass_y,ellipse_center_x,ellipse_center_y,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,convex_hull_vertices,convex_hull_area,longest_path
z1c2--2021-09-02--11-30-07_plant_00,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,0,WT,3158.0,N/A,N/A,N/A,N/A,True,True,7,604.8843377828598,84,106,0.511872923251479,987.1858771374287,311.3964534515516,985.3224487304688,309.7196044921875,88.89005279541016,72.66244506835938,108.14399719238281,0.5760111960076655,21,6169.5,723
z1c2--2021-09-02--11-30-07_plant_01,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,1,lhycca1,2622.0,N/A,N/A,N/A,N/A,True,True,5,432.1320307254791,69,78,0.6271226979191581,1171.6075514874142,291.82723112128144,1171.1900634765625,290.1863098144531,76.91252899169922,62.64681625366211,70.96144104003906,0.5801350528099475,20,4181.0,597
z1c2--2021-09-02--11-30-07_plant_02,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,2,WT,3865.0,N/A,N/A,N/A,N/A,True,True,8,799.5170186758041,107,109,0.525028866399511,1363.12574385511,266.0121604139715,1360.2525634765625,265.6799011230469,98.63471984863281,77.58860778808594,133.733642578125,0.6174301355824834,23,7361.5,730
z1c2--2021-09-02--11-30-07_plant_03,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,3,lhycca1,3949.0,N/A,N/A,N/A,N/A,True,True,8,699.6538897752762,93,96,0.5723188405797102,1570.058495821727,268.32843757913395,1569.4713134765625,266.7860412597656,88.62247467041016,79.87470245361328,29.61141586303711,0.4332126948427518,20,6900.0,706
z1c2--2021-09-02--11-30-07_plant_04,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,4,WT,3682.0,N/A,N/A,N/A,N/A,True,True,8,730.9675980806351,127,94,0.45389546351084814,979.4584464964693,503.67544812601847,979.4423828125,501.62969970703125,115.32343292236328,77.8609619140625,11.601526260375977,0.7376777237901927,26,8112.0,858
z1c2--2021-09-02--11-30-07_plant_05,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,5,lhycca1,2915.0,N/A,N/A,N/A,N/A,True,True,6,560.457931637764,88,83,0.5816041500399042,1193.4360205831904,474.5509433962264,1192.1949462890625,473.91851806640625,76.0531005859375,68.97322845458984,146.28564453125,0.42132692109794156,22,5012.0,636
z1c2--2021-09-02--11-30-07_plant_06,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,6,WT,3949.0,N/A,N/A,N/A,N/A,True,True,8,730.3229365348816,101,114,0.4739558329332693,1360.913395796404,461.75867308179284,1356.603515625,464.1707763671875,119.65121459960938,80.04922485351562,68.01951599121094,0.7432431276289976,23,8332.0,911
z1c2--2021-09-02--11-30-07_plant_07,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,7,lhycca1,3556.0,N/A,N/A,N/A,N/A,True,True,7,648.3990565538406,89,108,0.5709239784859919,1581.5011248593926,448.78487064116985,1583.0677490234375,448.0229187011719,90.02916717529297,73.17227935791016,86.77076721191406,0.5825959584239417,24,6228.5,729
z1c2--2021-09-02--11-30-07_plant_08,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,8,WT,3218.0,N/A,N/A,N/A,N/A,True,True,8,580.9432128667831,117,98,0.43307987349438126,1001.1522684897452,688.5963331261653,1004.0861206054688,689.3792724609375,108.03588104248047,84.7113037109375,150.2579345703125,0.6206301863066261,17,7430.5,798
z1c2--2021-09-02--11-30-07_plant_09,z1c2--2021-09-02--11-30-07.png,1,2,2021-09-02 11:30,2021-09-02,11:30:07,9,lhycca1,3711.0,N/A,N/A,N/A,N/A,True,True,6,605.3279888629913,88,102,0.5989347966429954,1189.1059013742927,687.8396658582592,1189.5771484375,688.9351806640625,91.62784576416016,71.2052230834961,112.67579650878906,0.6293606484700978,22,6196.0,702
