sample,image_name,zone,camera,timestamp,date,time,plant_id,genotype,area,marker_area,marker_ellipse_major_axis,marker_ellipse_minor_axis,marker_ellipse_eccentricity,in_bounds,object_in_frame,estimated_object_count,perimeter,height,width,solidity,center_of_mass_x,center_of_mass_y,ellipse_center_x,ellipse_center_y,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,convex_hull_vertices,convex_hull_area,longest_path
z3c2--2021-09-02--11-30-06_plant_00,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,0,WT,2785.0,N/A,N/A,N/A,N/A,True,True,7,788.3402881622314,97,101,0.4311145510835913,547.6818671454218,335.1536804308797,543.4887084960938,335.214599609375,98.6220474243164,74.5555191040039,57.93695068359375,0.6546038046012237,23,6460.0,756
z3c2--2021-09-02--11-30-06_plant_01,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,1,lhycca1,2291.0,N/A,N/A,N/A,N/A,True,True,5,617.2149987220764,73,80,0.5015873015873016,733.497599301615,312.7040593627237,733.412353515625,310.47003173828125,76.2216567993164,70.34086608886719,113.35847473144531,0.3851686605949227,17,4567.5,584
z3c2--2021-09-02--11-30-06_plant_02,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,2,WT,4082.0,N/A,N/A,N/A,N/A,True,True,9,1106.9750916957855,119,141,0.3834484054295242,917.7530622243999,291.2702106810387,914.7476806640625,287.9959716796875,122.90835571289062,94.7620620727539,106.58746337890625,0.6368379033458724,18,10645.5,968
z3c2--2021-09-02--11-30-06_plant_03,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,3,lhycca1,1328.0,N/A,N/A,N/A,N/A,True,True,5,300.3919162750244,55,58,0.6653306613226453,1126.1024096385543,281.7740963855422,1125.8251953125,280.75811767578125,51.569557189941406,45.228172302246094,128.34335327148438,0.48043124002353876,18,1996.0,370
z3c2--2021-09-02--11-30-06_plant_04,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,4,WT,3095.0,N/A,N/A,N/A,N/A,True,True,7,926.1005252599716,98,112,0.40659485023646874,527.1654281098546,516.1340872374798,524.2269287109375,518.4852905273438,102.88375091552734,78.11846923828125,70.62733459472656,0.650753927130542,18,7612.0,740
z3c2--2021-09-02--11-30-06_plant_05,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,5,lhycca1,2810.0,N/A,N/A,N/A,N/A,True,True,8,656.5828220844269,86,90,0.486369536996971,750.3665480427046,530.855871886121,746.203125,532.047119140625,82.28726196289062,71.23332977294922,83.39356231689453,0.5006210469155101,21,5777.5,633
z3c2--2021-09-02--11-30-06_plant_06,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,6,WT,3183.0,N/A,N/A,N/A,N/A,True,True,7,661.2274836301804,79,105,0.47068391866913123,944.2117499214578,514.1316368206095,942.5401611328125,512.510986328125,99.68254852294922,70.91231536865234,89.34265899658203,0.7028061185656209,19,6762.5,772
z3c2--2021-09-02--11-30-06_plant_07,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,7,lhycca1,2920.0,N/A,N/A,N/A,N/A,True,True,7,563.1858534812927,88,92,0.5599232981783318,1130.5291095890411,480.1551369863014,1130.82421875,480.08087158203125,79.09198760986328,71.14653015136719,83.75302124023438,0.43683518233560614,20,5215.0,598
z3c2--2021-09-02--11-30-06_plant_08,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,8,WT,2596.0,N/A,N/A,N/A,N/A,True,True,8,610.6416971683502,88,94,0.4712716710538259,562.8825115562404,720.9980739599383,559.859619140625,720.980712890625,93.44107818603516,64.75501251220703,49.895263671875,0.7209340314894351,22,5508.5,715
z3c2--2021-09-02--11-30-06_plant_09,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,9,lhycca1,3683.0,N/A,N/A,N/A,N/A,True,True,5,743.1266844272614,97,86,0.5725167107103996,756.5533532446375,710.0266087428727,756.115478515625,708.8678588867188,95.22946166992188,78.19078826904297,1.5772335529327393,0.5708164283638467,21,6433.0,672
z3c2--2021-09-02--11-30-06_plant_10,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,10,WT,4230.0,N/A,N/A,N/A,N/A,True,True,8,784.1219260692596,116,131,0.4287886467308667,963.3874704491726,692.0264775413712,962.4818725585938,687.3366088867188,125.73643493652344,90.47664642333984,141.1179962158203,0.6944159573965594,23,9865.0,1032
z3c2--2021-09-02--11-30-06_plant_11,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,11,lhycca1,2418.0,N/A,N/A,N/A,N/A,True,True,6,567.5289993286133,73,85,0.5651513380857778,1146.4057071960299,660.5537634408602,1147.4244384765625,661.0302124023438,75.91221618652344,61.512794494628906,74.29039001464844,0.5859947760448307,19,4278.5,581
z3c2--2021-09-02--11-30-06_plant_12,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,12,WT,3896.0,N/A,N/A,N/A,N/A,True,True,7,732.9259679317474,116,126,0.4637819177429915,582.4119609856263,900.0420944558522,586.73876953125,897.9452514648438,115.41181182861328,87.16128540039062,50.76836013793945,0.6554716273767308,21,8400.5,824
z3c2--2021-09-02--11-30-06_plant_13,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,13,lhycca1,2686.0,N/A,N/A,N/A,N/A,True,True,6,705.2514281272888,78,88,0.5626898502147272,771.4136262099777,914.0067014147431,771.1290283203125,912.7288818359375,78.0268325805664,68.69828033447266,135.4092559814453,0.47414958281383657,21,4773.5,610
z3c2--2021-09-02--11-30-06_plant_14,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,14,WT,4511.0,N/A,N/A,N/A,N/A,True,True,8,837.8792854547501,128,134,0.4380249550905472,980.6031921968521,894.2343161161605,979.2901000976562,891.4181518554688,135.59202575683594,88.01837158203125,61.395713806152344,0.7606679237913908,21,10298.5,912
z3c2--2021-09-02--11-30-06_plant_15,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,15,lhycca1,1950.0,N/A,N/A,N/A,N/A,True,True,6,486.03152549266815,79,71,0.5410654827968924,1176.5282051282052,884.7902564102565,1177.826171875,885.5977172851562,63.79264831542969,59.270328521728516,178.2714080810547,0.3698057938863726,20,3604.0,531
z3c2--2021-09-02--11-30-06_plant_16,z3c2--2021-09-02--11-30-06.png,3,2,2021-09-02 11:30,2021-09-02,11:30:06,16,WT,3330.0,N/A,N/A,N/A,N/A,True,True,8,679.2102386951447,89,108,0.4764630133066247,591.9933933933934,1103.6045045045046,585.9271850585938,1105.435546875,100.87775421142578,75.20089721679688,91.14591979980469,0.6665440832201509,21,6989.0,776
